baseline,seed,round,split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s
centralized,42,1,val,0.31410999197789463,0.14349546789225073,0.1408874404612685,0.1421794952880906,0.5440069830982173,0.6184511949368069,220.36683780001476
centralized,42,2,val,0.5375701934218736,0.2857142857142857,0.008523439458510905,0.016553067185978577,0.5819735676802299,0.4130587385282849,440.43214890011586
centralized,42,3,val,0.5414029770924325,0.4,0.00125344697919278,0.002499062851430713,0.5976664859312691,0.22996715211259436,644.9363888001535
centralized,42,4,val,0.5397094215170692,0.3968253968253968,0.006267234895963901,0.012339585389930898,0.6066906030151253,0.20381199433630573,836.7721770999487
centralized,42,5,val,0.5378375969337731,0.340080971659919,0.010528954625219354,0.02042553191489362,0.617154757159646,0.20110859108067886,1040.3884646000806
centralized,42,6,val,0.5365897138782423,0.35694050991501414,0.01579343193782903,0.030248469571480016,0.6211362252972522,0.1992520762816482,1280.2367001001257
centralized,42,7,val,0.5353418308227115,0.348643006263048,0.020932564552519427,0.0394939103701076,0.6270014343238287,0.19937189885645332,1558.4860974000767
centralized,42,8,val,0.5356092343346109,0.34754797441364604,0.020431185760842317,0.03859358352077661,0.6318272890743082,0.19587679110100184,1778.8650011999998
centralized,42,9,val,0.535074427310812,0.36186770428015563,0.02331411381298571,0.043805934997644846,0.6314817036555874,0.19456408580937629,2024.784749200102
centralized,42,10,val,0.5305285676085213,0.33250311332503113,0.03346703434444723,0.06081311923471131,0.639805469264325,0.1969946865804247,2246.5767833001446
fedavg,42,1,val,0.01149835101167662,0.05845990389491223,0.30345951366257207,0.09803405478730944,0.5140470097253474,0.6709817800730964,354.56322940000246
fedavg,42,2,val,0.1693555575363223,0.09930247305009511,0.19628979694158938,0.13188479029813036,0.5278248222130741,0.6459899049081929,885.0288389000052
fedavg,42,3,val,0.34031553614404136,0.1450458190148912,0.12697417899222863,0.13540970458494853,0.5411264384597773,0.6165894683440831,1213.6615614000038
fedavg,42,4,val,0.45538818076477405,0.19058744993324434,0.07157182251190775,0.10406415163112813,0.5549428773035863,0.5719704720115203,1578.1673216000054
fedavg,42,5,val,0.5226847312594706,0.23228803716608595,0.025068939583855605,0.04525398800769318,0.570428422653347,0.5009339626263207,1820.8024090000035
fedavg,42,6,val,0.5390854799893039,0.2222222222222222,0.004763098520932565,0.009326297705239907,0.5833889000010949,0.40169859288454757,2072.1941436999987
fedavg,42,7,val,0.5406899010607006,0.1794871794871795,0.0008774128854349461,0.001746289135586878,0.5884848279416052,0.3106110490641393,2314.603672199999
fedavg,42,8,val,0.5414029770924325,0.2222222222222222,0.000250689395838556,0.0005008138224614999,0.5918428426617268,0.2541728346586249,2575.7981443000026
fedavg,42,9,val,0.541492111596399,0.36363636363636365,0.000501378791677112,0.0010013768932281887,0.5964240033242599,0.2259353120499238,2803.5271546000004
fedavg,42,10,val,0.5416703806043319,0.46153846153846156,0.0007520681875156681,0.0015016894005756478,0.5982991861906628,0.2115228629580304,3026.4120604000054
fedprox,42,1,val,0.011230947499777164,0.05844965702499161,0.3054650288292805,0.09812369141568691,0.5139054914162472,0.6711608561637281,237.13077200000407
fedprox,42,2,val,0.16614671539352885,0.09845692509527082,0.19754324392078215,0.13141546800083384,0.5276146693480775,0.6463870825067498,463.44609440000204
fedprox,42,3,val,0.3370175594972814,0.1447442383361439,0.12910503885685634,0.13647807075659202,0.540832879215588,0.6173541383348436,680.8655599000049
fedprox,42,4,val,0.4533380871735449,0.18999345977763243,0.07282526949110053,0.10529177238129758,0.5544809055651145,0.5735230222882323,891.9470281000031
fedprox,42,5,val,0.5211694446920403,0.23186813186813188,0.026447731260967663,0.04747974797479748,0.5700192790112489,0.5039362835686457,1107.9638466000033
fedprox,42,6,val,0.5388180764774044,0.21195652173913043,0.004888443218851842,0.009556481254594462,0.5831021487634965,0.4059478395528595,1320.0268558000025
fedprox,42,7,val,0.5406899010607006,0.16666666666666666,0.0008774128854349461,0.001745635910224439,0.5882534839659126,0.3143653471140059,1664.0472123
fedprox,42,8,val,0.5414029770924325,0.2222222222222222,0.000250689395838556,0.0005008138224614999,0.5916474169704979,0.2565183478255399,1869.3407608000052
fedprox,42,9,val,0.541492111596399,0.36363636363636365,0.000501378791677112,0.0010013768932281887,0.5961673835739818,0.22721387629219317,2063.8135140000013
fedprox,42,10,val,0.5416703806043319,0.46153846153846156,0.0007520681875156681,0.0015016894005756478,0.5980355217643458,0.21218917744450205,2258.7275174000024
fedprox_dp,42,1,val,0.007665567341117747,0.058149311855556045,0.3294058661318626,0.09884901828029789,0.5119789471848117,0.6741174828114702,198.52590249999776
fedprox_dp,42,2,val,0.16480969783403154,0.09965156794425087,0.19716720982702432,0.13239069141101711,0.5272848605127964,0.6469316027553146,399.96557600000233
