baseline,seed,status,error,rounds,local_epochs,batch_size,samples_per_client,validation_split,test_split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s,epsilon
centralized,42,ok,,10,2,64,5000,full,full,0.5195025186109749,0.35311572700296734,0.028831011508176862,0.05330944114682495,0.6327968552514481,0.20109956863013315,2296.6766144998837,
fedavg,42,ok,,10,2,64,5000,full,full,0.5314046271118441,0.3,0.00018170805572380376,0.00036319612590799034,0.5925729640787282,0.21512280328909436,3077.0406580000054,
fedprox,42,ok,,10,2,64,5000,full,full,0.5314046271118441,0.3,0.00018170805572380376,0.00036319612590799034,0.592261299388471,0.21576954711072344,2304.1286760999938,
fedprox_dp,42,ok,,10,2,64,5000,full,full,0.5303793518477243,0.22413793103448276,0.0007874015748031496,0.0015692901979719941,0.5875005029942301,0.22021649940963076,2034.623834399994,4.2559017628683655
centralized,123,ok,,10,2,64,5000,full,full,0.5264119823474346,0.3786163522012579,0.01823137492428831,0.034787633631898296,0.6395525687192816,0.19767414407851688,1969.2922657999952,
fedavg,123,ok,,10,2,64,5000,full,full,0.5317612445950163,0.5,6.0569351907934585e-05,0.00012112403100775195,0.6006600240583266,0.21450995212638446,2076.6861342999982,
fedprox,123,ok,,10,2,64,5000,full,full,0.5317612445950163,0.5,6.0569351907934585e-05,0.00012112403100775195,0.6002820517084485,0.2151096353781227,2315.2317498000048,
fedprox_dp,123,ok,,10,2,64,5000,full,full,0.5317166674096198,0.0,0.0,0.0,0.5925717948631609,0.2187578923034109,2951.1933957,4.2559017628683655
centralized,2026,ok,,10,2,64,5000,full,full,0.5236927740382472,0.3402948402948403,0.01677771047849788,0.03197875779265758,0.6278583702248955,0.20057194850920718,1963.719774499994,
fedavg,2026,ok,,10,2,64,5000,full,full,0.5317166674096198,0.0,0.0,0.0,0.5917839817127951,0.21541872911059903,1953.2736258000004,
fedprox,2026,ok,,10,2,64,5000,full,full,0.5317166674096198,0.0,0.0,0.0,0.5914602916219467,0.21599551000958783,2005.6158108999953,
fedprox_dp,2026,ok,,10,2,64,5000,full,full,0.5317166674096198,0.0,0.0,0.0,0.5828570894052624,0.21437576510002518,2661.057708500004,4.2559017628683655
