baseline,seed,status,error,rounds,local_epochs,batch_size,samples_per_client,accuracy,precision,recall,f1,roc_auc,loss,runtime_s,epsilon
centralized,42,ok,,1,1,64,512,0.0,0.043247767857142856,0.4095112285336856,0.07823343848580441,0.5040091424152426,0.6898953160271049,20.800301400013268,
fedavg,42,ok,,1,1,64,512,0.0,0.05322265625,0.5759577278731837,0.09744105486646552,0.4923260725036504,0.6912150951102376,20.14462050003931,
fedprox,42,ok,,1,1,64,512,0.0,0.05322265625,0.5759577278731837,0.09744105486646552,0.494407343583537,0.6912154955789447,20.4755378998816,
fedprox_dp,42,ok,,1,1,64,512,0.0,0.05322265625,0.5759577278731837,0.09744105486646552,0.49746327835648907,0.6913830041885376,20.087240899913013,3.8521259211850216
centralized,123,ok,,1,1,64,512,0.0,0.05897739955357143,0.5714768502872593,0.10692042616420601,0.529460911574171,0.6985516184940934,18.703749499982223,
fedavg,123,ok,,1,1,64,512,0.0,0.05897739955357143,0.5714768502872593,0.10692042616420601,0.5251859071544042,0.6967565920203924,18.839951599948108,
fedprox,123,ok,,1,1,64,512,0.0,0.05897739955357143,0.5714768502872593,0.10692042616420601,0.5237570172386427,0.6967570390552282,23.003459500148892,
fedprox_dp,123,ok,,1,1,64,512,0.0,0.05897739955357143,0.5714768502872593,0.10692042616420601,0.5198271488037268,0.6967545095831156,20.226892700186,3.8521259211850216
centralized,2026,ok,,1,1,64,512,0.0,0.061126708984375,0.6438444230151077,0.11165305610524262,0.5016729840153037,0.6831055991351604,19.995900999987498,
fedavg,2026,ok,,1,1,64,512,0.0,0.06821986607142858,0.6287367405978785,0.12308466790422554,0.4916523999632944,0.6871866500005126,19.300427000038326,
fedprox,2026,ok,,1,1,64,512,0.0,0.06821986607142858,0.6287367405978785,0.12308466790422554,0.4901884158681548,0.6871870085597038,19.311090500093997,
fedprox_dp,2026,ok,,1,1,64,512,0.0,0.06821986607142858,0.6287367405978785,0.12308466790422554,0.48742477481479785,0.6871469095349312,20.322990299900994,3.8521259211850216
