baseline,seed,num_clients,num_rounds,local_epochs,mu,dp_noise,accuracy,precision,recall,f1,roc_auc,loss,epsilon,runtime_s
centralized,42,3,1,1,,,0.0,0.0859375,0.4583333333333333,0.14473684210526316,0.3440972222222222,0.6938120573759079,,0.5466694000642747
fedavg,42,3,1,1,,,0.0,0.0859375,0.4583333333333333,0.14473684210526316,0.44990079365079366,0.6934159398078918,,0.5273978000041097
fedprox,42,3,1,1,0.01,,0.0,0.0859375,0.4583333333333333,0.14473684210526316,0.43806216931216935,0.6934159249067307,,0.5661932998336852
fedprox_dp,42,3,1,1,0.01,1.2,0.0,0.0859375,0.4583333333333333,0.14473684210526316,0.45585317460317465,0.6930084526538849,6.892111729087538,1.1217547000851482
centralized,123,3,1,1,,,0.0,0.16964285714285715,0.6551724137931034,0.2695035460992908,0.5124716553287982,0.6952595114707947,,0.6754161999560893
fedavg,123,3,1,1,,,0.0,0.16964285714285715,0.6551724137931034,0.2695035460992908,0.5155328798185941,0.6940388679504395,,0.4967644000425935
fedprox,123,3,1,1,0.01,,0.0,0.16964285714285715,0.6551724137931034,0.2695035460992908,0.5270408163265307,0.6940388977527618,,0.5816611000336707
fedprox_dp,123,3,1,1,0.01,1.2,0.0,0.1484375,0.6551724137931034,0.24203821656050953,0.6020408163265306,0.6942873299121857,6.892111729087538,1.0770769999362528
centralized,2026,3,1,1,,,0.0,0.21875,0.7,0.3333333333333333,0.4540816326530612,0.6868507564067841,,0.6173799999523908
fedavg,2026,3,1,1,,,0.0,0.21875,0.7,0.3333333333333333,0.40646258503401356,0.690667599439621,,0.5053205001167953
fedprox,2026,3,1,1,0.01,,0.0,0.21875,0.7,0.3333333333333333,0.4621315192743765,0.6906676143407822,,0.5644740001298487
fedprox_dp,2026,3,1,1,0.01,1.2,0.0,0.20535714285714285,0.7666666666666667,0.32394366197183094,0.446938775510204,0.6908838152885437,6.892111729087538,0.9238499999046326
